cust_num,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,change_1,change_2,change_3,change_4,change_5,change_6,change_7,change_8,change_9,change_10,change_11
1,-0.373968889,-0.384322022,-0.391041676,-0.394362243,-0.397682809,-0.398676567,-0.399670325,-0.400664082,-0.383603669,-0.283542238,-0.292911574,-0.332348188,-0.010353133,-0.006719654,-0.003320567,-0.003320566,-0.000993758,-0.000993758,-0.000993757,0.017060413,0.100061431,-0.009369336,-0.039436614
2,0.020824553,0.010766667,0.00783232,0.013447634,0.016717618,0.011927582,0.019951805,0.021069529,0.022653549,-0.000660067,-0.008600711,-0.007582285,-0.010057886,-0.002934347,0.005615314,0.003269984,-0.004790036,0.008024223,0.001117724,0.00158402,-0.023313616,-0.007940644,0.001018426
3,0.232064348,0.243169142,0.243438398,0.276087966,0.287596022,0.032954699,0.074951347,0.077680562,0.068491222,0.055569572,0.061127688,0.135956314,0.011104794,0.000269256,0.032649568,0.011508056,-0.254641323,0.041996648,0.002729215,-0.00918934,-0.01292165,0.005558116,0.074828626
4,-0.398623183,-0.397066633,-0.395510083,-0.381502381,-0.379945753,-0.378389126,-0.376832498,-0.375275871,-0.373719165,-0.372162538,-0.370605833,-0.369049127,0.00155655,0.00155655,0.014007702,0.001556628,0.001556627,0.001556628,0.001556627,0.001556706,0.001556627,0.001556705,0.001556706
5,-0.115687005,-0.109387033,-0.135277104,-0.15957973,0.956871309,0.959077186,0.93682542,0.926823565,0.928439024,0.903814691,-0.173337164,-0.175293941,0.006299972,-0.025890071,-0.024302626,1.116451039,0.002205877,-0.022251766,-0.010001855,0.001615459,-0.024624333,-1.077151855,-0.001956777
6,0.131626815,0.152233161,-0.026714415,0.010968454,0.017317296,0.070976317,0.152466464,0.114746398,-0.045363206,-0.025689374,0.001699505,-0.033060767,0.020606346,-0.178947576,0.037682869,0.006348842,0.053659021,0.081490147,-0.037720066,-0.160109604,0.019673832,0.027388879,-0.034760272
7,-0.335370394,-0.340049148,-0.348355078,-0.344377168,-0.347150896,-0.357423253,-0.354481357,-0.354141985,-0.360078928,-0.361904812,-0.360978057,-0.366415631,-0.004678754,-0.00830593,0.00397791,-0.002773728,-0.010272357,0.002941896,0.000339372,-0.005936943,-0.001825884,0.000926755,-0.005437574
8,-0.335415918,-0.267904835,-0.315899281,-0.354423692,-0.253049599,-0.309920082,-0.340094517,-0.341075979,-0.303017786,-0.305331366,-0.322763368,-0.346415422,0.067511083,-0.047994446,-0.038524411,0.101374093,-0.056870483,-0.030174435,-0.000981462,0.038058193,-0.00231358,-0.017432002,-0.023652054
9,0.189070596,0.20973305,0.057985562,-0.058742981,-0.082087803,0.096120252,0.002737619,-0.020607202,-0.113989991,-0.137334734,-0.160679712,-0.21515257,0.020662454,-0.151747488,-0.116728543,-0.023344822,0.178208055,-0.093382633,-0.023344821,-0.093382789,-0.023344743,-0.023344978,-0.054472858
10,-0.305426617,-0.294692867,-0.298539106,-0.295698298,-0.293516156,-0.282398599,-0.29407031,-0.292935465,-0.308513802,-0.313586324,-0.313785153,-0.294252019,0.01073375,-0.003846239,0.002840808,0.002182142,0.011117557,-0.011671711,0.001134845,-0.015578337,-0.005072522,-0.000198829,0.019533134
